id,language,label,expected,predicted,correct,final_confidence,evidence_count,pre_llm_verdict,pre_llm_confidence,post_llm_verdict,post_llm_confidence,llm_enabled,llm_triggered,llm_used,pre_correct,post_correct,verdict_changed,changed_to_neutral,changed_from_neutral
C109,kn,SOCIETY_CULTURE,neutral,refute,False,0.97,2,neutral,0.7309681624174118,refute,0.97,True,True,True,True,False,True,False,True
C026,hi,POLITICS_GOVERNMENT,support,refute,False,0.99,6,refute,0.99,refute,0.99,True,False,False,False,False,False,False,False
C125,kn,SPORTS,neutral,refute,False,0.99,2,neutral,0.7672630807526333,refute,0.99,True,True,True,True,False,True,False,True
C033,hi,POLITICS_GOVERNMENT,support,neutral,False,0.9494382820953186,6,neutral,0.9494382820953186,neutral,0.9494382820953186,True,True,False,False,False,False,False,False
C143,ml,GENERAL_FACTUAL,neutral,refute,False,0.9843173804640082,4,neutral,0.8372148675415535,refute,0.9843173804640082,True,True,True,True,False,True,False,True
C122,kn,SPORTS,neutral,refute,False,0.99,9,neutral,0.639048432631557,refute,0.99,True,True,True,True,False,True,False,True
C115,kn,LAW_CRIME,neutral,refute,False,0.99,5,refute,0.99,refute,0.99,True,False,False,False,False,False,False,False
C052,ta,SCIENCE,refute,neutral,False,0.8919422141200536,5,neutral,0.8919422141200536,neutral,0.8919422141200536,True,True,False,False,False,False,False,False
C138,ml,ENTERTAINMENT,neutral,refute,False,0.930299149314874,8,neutral,0.8408666758984545,refute,0.930299149314874,True,True,True,True,False,True,False,True
C146,ml,GENERAL_FACTUAL,neutral,refute,False,0.86,5,neutral,0.68491661637346,refute,0.86,True,True,True,True,False,True,False,True
C123,kn,SPORTS,neutral,refute,False,0.92,8,neutral,0.65,refute,0.92,True,True,True,True,False,True,False,True
C126,ml,SPORTS,neutral,refute,False,0.92,4,neutral,0.9878291623081886,refute,0.92,True,True,True,True,False,True,False,True
C114,kn,LAW_CRIME,neutral,refute,False,0.99,7,neutral,0.7517048631689147,refute,0.99,True,True,True,True,False,True,False,True
C091,te,ENVIRONMENT_CLIMATE,refute,neutral,False,0.8421502236481456,3,neutral,0.7470343261957169,neutral,0.8421502236481456,True,True,True,False,False,False,False,False
C042,hi,ECONOMICS_BUSINESS,support,neutral,False,0.9290295677065512,5,neutral,0.9290295677065512,neutral,0.9290295677065512,True,True,False,False,False,False,False,False
C121,kn,SPORTS,neutral,refute,False,0.99,5,refute,0.99,refute,0.99,True,False,False,False,False,False,False,False
C034,hi,ECONOMICS_BUSINESS,support,neutral,False,0.9206328804132404,6,neutral,0.9206328804132404,neutral,0.9206328804132404,True,True,False,False,False,False,False,False
C112,kn,LAW_CRIME,neutral,refute,False,0.99,10,neutral,0.65,refute,0.99,True,True,False,True,False,True,False,True
C117,kn,LAW_CRIME,neutral,refute,False,0.99,9,neutral,0.840370097756396,refute,0.99,True,True,True,True,False,True,False,True
C124,kn,SPORTS,neutral,refute,False,0.99,9,neutral,0.76813938849814,refute,0.99,True,True,True,True,False,True,False,True
C047,hi,SCIENCE,support,refute,False,0.99,8,neutral,0.8408537333550907,refute,0.99,True,True,True,False,False,True,False,True
C131,ml,ENTERTAINMENT,neutral,support,False,0.85,3,neutral,0.8116768794887287,support,0.85,True,True,True,True,False,True,False,True
C045,hi,SCIENCE,support,neutral,False,0.9411018153579012,5,neutral,0.9315885336667524,neutral,0.9411018153579012,True,True,True,False,False,False,False,False
C137,ml,ENTERTAINMENT,neutral,refute,False,0.99,4,neutral,0.9829513497235262,refute,0.99,True,True,True,True,False,True,False,True
C104,kn,SOCIETY_CULTURE,neutral,refute,False,0.99,5,refute,0.99,refute,0.99,True,False,False,False,False,False,False,False
C130,ml,SPORTS,neutral,support,False,0.85,3,neutral,0.7421398758888245,support,0.85,True,True,True,True,False,True,False,True
C133,ml,ENTERTAINMENT,neutral,support,False,0.8426602933410431,3,neutral,0.8426602933410431,support,0.8426602933410431,True,True,True,True,False,True,False,True
C096,te,ENVIRONMENT_CLIMATE,refute,neutral,False,0.9565805401553212,5,neutral,0.8432497560175565,neutral,0.9565805401553212,True,True,True,False,False,False,False,False
C040,hi,ECONOMICS_BUSINESS,support,refute,False,0.9587782633216024,9,neutral,0.8454108129531901,refute,0.9587782633216024,True,True,True,False,False,True,False,True
C116,kn,LAW_CRIME,neutral,refute,False,0.99,6,neutral,0.7762170573230187,refute,0.99,True,True,True,True,False,True,False,True
C141,ml,GENERAL_FACTUAL,neutral,refute,False,0.96,5,neutral,0.9702136796435534,refute,0.96,True,True,True,True,False,True,False,True
C107,kn,SOCIETY_CULTURE,neutral,refute,False,0.99,5,refute,0.99,refute,0.99,True,False,False,False,False,False,False,False
C106,kn,SOCIETY_CULTURE,neutral,refute,False,0.96,2,neutral,0.65,refute,0.96,True,True,True,True,False,True,False,True
C113,kn,LAW_CRIME,neutral,refute,False,0.99,4,refute,0.99,refute,0.99,True,False,False,False,False,False,False,False
C144,ml,GENERAL_FACTUAL,neutral,refute,False,0.98,5,neutral,0.9493189661534984,refute,0.98,True,True,True,True,False,True,False,True
C030,hi,POLITICS_GOVERNMENT,support,neutral,False,0.9754802776623696,4,neutral,0.9754802776623696,neutral,0.9754802776623696,True,True,False,False,False,False,False,False
C118,kn,LAW_CRIME,neutral,refute,False,0.99,5,refute,0.99,refute,0.99,True,False,False,False,False,False,False,False
C120,kn,LAW_CRIME,neutral,refute,False,0.99,12,neutral,0.8082915418306084,refute,0.99,True,True,True,True,False,True,False,True
C014,en,TECHNOLOGY,support,support,True,0.9799999999999998,7,neutral,0.8729993472668395,support,0.9799999999999998,True,True,True,False,True,True,False,True
C016,en,TECHNOLOGY,support,support,True,0.8197258442690164,6,neutral,0.7667555435053078,support,0.8197258442690164,True,True,True,False,True,True,False,True
C010,en,HEALTH,support,support,True,0.96,6,neutral,0.8268551260432546,support,0.96,True,True,True,False,True,True,False,True
C011,en,HEALTH,support,support,True,0.8742067403982139,6,neutral,0.9870822469557604,support,0.8742067403982139,True,True,True,False,True,True,False,True
C019,en,TECHNOLOGY,support,support,True,0.9008044208923094,9,neutral,0.9699005056821725,support,0.9008044208923094,True,True,True,False,True,True,False,True
C013,en,TECHNOLOGY,support,support,True,0.98,6,neutral,0.8829614062299842,support,0.98,True,True,True,False,True,True,False,True
C004,en,HEALTH,support,support,True,0.8562908029667108,8,neutral,0.885455940792031,support,0.8562908029667108,True,True,True,False,True,True,False,True
C023,en,POLITICS_GOVERNMENT,support,support,True,0.7659514282805358,10,neutral,0.890535849690582,support,0.7659514282805358,True,True,True,False,True,True,False,True
C007,en,HEALTH,support,support,True,0.97,7,neutral,0.9621273146372264,support,0.97,True,True,True,False,True,True,False,True
C022,en,TECHNOLOGY,support,support,True,0.98,8,neutral,0.7767993175798186,support,0.98,True,True,True,False,True,True,False,True
C001,en,HEALTH,support,support,True,0.8660602390601853,9,neutral,0.8996622186562321,support,0.8660602390601853,True,True,True,False,True,True,False,True
C017,en,TECHNOLOGY,support,support,True,0.98,7,neutral,0.9749402409061124,support,0.98,True,True,True,False,True,True,False,True
C119,kn,LAW_CRIME,neutral,neutral,True,0.9575324735661946,5,neutral,0.9575324735661946,neutral,0.9575324735661946,True,True,False,True,True,False,False,False
C043,hi,ECONOMICS_BUSINESS,support,support,True,0.99,3,neutral,0.769702147417785,support,0.99,True,True,True,False,True,True,False,True
C056,ta,HISTORY,refute,refute,True,0.99,6,neutral,0.65,refute,0.99,True,True,True,False,True,True,False,True
C068,ta,GEOGRAPHY,refute,refute,True,0.99,6,neutral,0.8924699537980443,refute,0.99,True,True,True,False,True,True,False,True
C111,kn,LAW_CRIME,neutral,neutral,True,0.9776911056226308,6,neutral,0.838530788650418,neutral,0.9776911056226308,True,True,True,True,True,False,False,False
C128,ml,SPORTS,neutral,neutral,True,0.8578829255147232,4,neutral,0.8418898700189347,neutral,0.8578829255147232,True,True,False,True,True,False,False,False
C065,ta,HISTORY,refute,refute,True,0.96,3,neutral,0.8179890313692599,refute,0.96,True,True,True,False,True,True,False,True
C089,te,ENVIRONMENT_CLIMATE,refute,refute,True,0.9740263569658616,5,neutral,0.8225395378544558,refute,0.9740263569658616,True,True,True,False,True,True,False,True
C090,te,ENVIRONMENT_CLIMATE,refute,refute,True,0.9781312405739429,4,neutral,0.7382429838180542,refute,0.9781312405739429,True,True,True,False,True,True,False,True
C145,ml,GENERAL_FACTUAL,neutral,neutral,True,0.7816805834368363,3,neutral,0.8390887558142168,neutral,0.7816805834368363,True,True,False,True,True,False,False,False
C059,ta,HISTORY,refute,refute,True,0.982694797570027,4,neutral,0.8424387432970253,refute,0.982694797570027,True,True,True,False,True,True,False,True
C066,ta,HISTORY,refute,refute,True,0.980966646080574,4,neutral,0.7448883801698685,refute,0.980966646080574,True,True,True,False,True,True,False,True
C070,ta,GEOGRAPHY,refute,refute,True,0.99,3,neutral,0.8303623891061047,refute,0.99,True,True,True,False,True,True,False,True
C054,ta,SCIENCE,refute,refute,True,0.92,3,neutral,0.7453453838825227,refute,0.92,True,True,True,False,True,True,False,True
C092,te,ENVIRONMENT_CLIMATE,refute,refute,True,0.96,4,neutral,0.8018317390157311,refute,0.96,True,True,True,False,True,True,False,True
C150,ml,GENERAL_FACTUAL,neutral,neutral,True,0.9847319273007163,5,neutral,0.9847319273007163,neutral,0.9847319273007163,True,True,False,True,True,False,False,False
C064,ta,HISTORY,refute,refute,True,0.99,2,neutral,0.7402746422738818,refute,0.99,True,True,True,False,True,True,False,True
C074,ta,GEOGRAPHY,refute,refute,True,0.99,5,neutral,0.6702261483115716,refute,0.99,True,True,True,False,True,True,False,True
C134,ml,ENTERTAINMENT,neutral,neutral,True,0.9799999999999998,5,neutral,0.8898278777201181,neutral,0.9799999999999998,True,True,True,True,True,False,False,False
C036,hi,ECONOMICS_BUSINESS,support,support,True,0.96,6,neutral,0.9132688004418402,support,0.96,True,True,True,False,True,True,False,True
C044,hi,ECONOMICS_BUSINESS,support,support,True,0.96,8,neutral,0.8145453966051016,support,0.96,True,True,True,False,True,True,False,True
C079,te,SPACE_ASTRONOMY,refute,refute,True,0.99,5,neutral,0.795276027074894,refute,0.99,True,True,True,False,True,True,False,True
C071,ta,GEOGRAPHY,refute,refute,True,0.99,4,neutral,0.8359151765514925,refute,0.99,True,True,True,False,True,True,False,True
C099,te,ENVIRONMENT_CLIMATE,refute,refute,True,0.98,4,neutral,0.9914092657473336,refute,0.98,True,True,True,False,True,True,False,True
C101,kn,SOCIETY_CULTURE,neutral,neutral,True,0.9125381140984564,5,neutral,0.8187930796195035,neutral,0.9125381140984564,True,True,True,True,True,False,False,False
C060,ta,HISTORY,refute,refute,True,0.95,6,neutral,0.7426946014165878,refute,0.95,True,True,True,False,True,True,False,True
C032,hi,POLITICS_GOVERNMENT,support,support,True,0.92,10,neutral,0.8161056062026865,support,0.92,True,True,True,False,True,True,False,True
C136,ml,ENTERTAINMENT,neutral,neutral,True,0.843760611389864,3,neutral,0.843760611389864,neutral,0.843760611389864,True,True,False,True,True,False,False,False
C093,te,ENVIRONMENT_CLIMATE,refute,refute,True,0.9884436132581924,5,neutral,0.8399427078829556,refute,0.9884436132581924,True,True,True,False,True,True,False,True
C147,ml,GENERAL_FACTUAL,neutral,neutral,True,0.8305292410202715,3,neutral,0.742248460650444,neutral,0.8305292410202715,True,True,True,True,True,False,False,False
C061,ta,HISTORY,refute,refute,True,0.99,4,neutral,0.9925066619280816,refute,0.99,True,True,True,False,True,True,False,True
C078,te,SPACE_ASTRONOMY,refute,refute,True,0.97,2,neutral,0.7468389719724655,refute,0.97,True,True,True,False,True,True,False,True
C095,te,ENVIRONMENT_CLIMATE,refute,refute,True,0.92,4,neutral,0.7974351012134998,refute,0.92,True,True,True,False,True,True,False,True
C094,te,ENVIRONMENT_CLIMATE,refute,refute,True,0.8767148409644115,5,neutral,0.7069245761880504,refute,0.8767148409644115,True,True,True,False,True,True,False,True
C080,te,SPACE_ASTRONOMY,refute,refute,True,0.99,4,refute,0.99,refute,0.99,True,False,False,True,True,False,False,False
C029,hi,POLITICS_GOVERNMENT,support,support,True,0.99,8,neutral,0.793292203923555,support,0.99,True,True,True,False,True,True,False,True
C102,kn,SOCIETY_CULTURE,neutral,neutral,True,0.938818031910728,4,neutral,0.888057277951935,neutral,0.938818031910728,True,True,True,True,True,False,False,False
C086,te,SPACE_ASTRONOMY,refute,refute,True,0.99,9,neutral,0.65,refute,0.99,True,True,True,False,True,True,False,True
C057,ta,HISTORY,refute,refute,True,0.99,4,neutral,0.8386878917660553,refute,0.99,True,True,True,False,True,True,False,True
C031,hi,POLITICS_GOVERNMENT,support,support,True,0.99,8,neutral,0.45,support,0.99,True,True,True,False,True,True,False,True
C055,ta,SCIENCE,refute,refute,True,0.92,3,neutral,0.8127248238413342,refute,0.92,True,True,True,False,True,True,False,True
C038,hi,ECONOMICS_BUSINESS,support,support,True,0.99,5,neutral,0.8774605342106523,support,0.99,True,True,True,False,True,True,False,True
C135,ml,ENTERTAINMENT,neutral,neutral,True,0.9162033947731616,7,neutral,0.7908340911210393,neutral,0.9162033947731616,True,True,False,True,True,False,False,False
C062,ta,HISTORY,refute,refute,True,0.98,5,neutral,0.7721999543149014,refute,0.98,True,True,True,False,True,True,False,True
C053,ta,SCIENCE,refute,refute,True,0.96,5,neutral,0.7511203308913893,refute,0.96,True,True,True,False,True,True,False,True
C100,te,SOCIETY_CULTURE,refute,refute,True,0.99,4,neutral,0.7398848980665207,refute,0.99,True,True,True,False,True,True,False,True
C050,hi,SCIENCE,support,support,True,0.96,4,neutral,0.8718201902026566,support,0.96,True,True,True,False,True,True,False,True
C149,ml,GENERAL_FACTUAL,neutral,neutral,True,0.7040594816207885,1,neutral,0.7040594816207885,neutral,0.7040594816207885,True,True,True,True,True,False,False,False
C148,ml,GENERAL_FACTUAL,neutral,neutral,True,0.7374986328479586,3,neutral,0.7374986328479586,neutral,0.7374986328479586,True,True,False,True,True,False,False,False
C058,ta,HISTORY,refute,refute,True,0.99,7,neutral,0.8798773159263512,refute,0.99,True,True,True,False,True,True,False,True
C039,hi,ECONOMICS_BUSINESS,support,support,True,0.765245342151454,3,neutral,0.765245342151454,support,0.765245342151454,True,True,True,False,True,True,False,True
C082,te,SPACE_ASTRONOMY,refute,refute,True,0.99,2,neutral,0.746020719408989,refute,0.99,True,True,True,False,True,True,False,True
C085,te,SPACE_ASTRONOMY,refute,refute,True,0.95,8,neutral,0.7780807833913911,refute,0.95,True,True,True,False,True,True,False,True
C049,hi,SCIENCE,support,support,True,0.99,4,support,0.99,support,0.99,True,False,False,True,True,False,False,False
C088,te,SPACE_ASTRONOMY,refute,refute,True,0.99,3,neutral,0.8417077268337841,refute,0.99,True,True,True,False,True,True,False,True
C041,hi,ECONOMICS_BUSINESS,support,support,True,0.97,9,neutral,0.8427799769441351,support,0.97,True,True,True,False,True,True,False,True
C087,te,SPACE_ASTRONOMY,refute,refute,True,0.98,5,neutral,0.9689391079098316,refute,0.98,True,True,True,False,True,True,False,True
C035,hi,ECONOMICS_BUSINESS,support,support,True,0.99,4,neutral,0.9380614686743952,support,0.99,True,True,True,False,True,True,False,True
C051,ta,SCIENCE,refute,refute,True,0.9611212115334468,5,neutral,0.8399597897246998,refute,0.9611212115334468,True,True,True,False,True,True,False,True
C037,hi,ECONOMICS_BUSINESS,support,support,True,0.99,5,neutral,0.937360112921122,support,0.99,True,True,True,False,True,True,False,True
C084,te,SPACE_ASTRONOMY,refute,refute,True,0.96,2,neutral,0.713411808013916,refute,0.96,True,True,True,False,True,True,False,True
C108,kn,SOCIETY_CULTURE,neutral,neutral,True,0.9280588572323936,5,neutral,0.8211157007678642,neutral,0.9280588572323936,True,True,True,True,True,False,False,False
C072,ta,GEOGRAPHY,refute,refute,True,0.9767103089977168,4,neutral,0.7438890784978867,refute,0.9767103089977168,True,True,True,False,True,True,False,True
C073,ta,GEOGRAPHY,refute,refute,True,0.97,4,neutral,0.6488894820213318,refute,0.97,True,True,True,False,True,True,False,True
C077,te,GEOGRAPHY,refute,refute,True,0.99,6,refute,0.99,refute,0.99,True,False,False,True,True,False,False,False
C132,ml,ENTERTAINMENT,neutral,neutral,True,0.9694992668539196,5,neutral,0.8333814394335918,neutral,0.9694992668539196,True,True,False,True,True,False,False,False
C129,ml,SPORTS,neutral,neutral,True,0.968037029290235,5,neutral,0.8359355724312358,neutral,0.968037029290235,True,True,False,True,True,False,False,False
C098,te,ENVIRONMENT_CLIMATE,refute,refute,True,0.96,4,neutral,0.8433000935184274,refute,0.96,True,True,True,False,True,True,False,True
C140,ml,ENTERTAINMENT,neutral,neutral,True,0.8347075046375804,3,neutral,0.8347075046375804,neutral,0.8347075046375804,True,True,False,True,True,False,False,False
C139,ml,ENTERTAINMENT,neutral,neutral,True,0.8239117720948478,3,neutral,0.8154987548656721,neutral,0.8239117720948478,True,True,True,True,True,False,False,False
C110,kn,SOCIETY_CULTURE,neutral,neutral,True,0.970817856132928,6,neutral,0.9729645612373978,neutral,0.970817856132928,True,True,True,True,True,False,False,False
C103,kn,SOCIETY_CULTURE,neutral,neutral,True,0.7981898000068322,3,neutral,0.779628309239295,neutral,0.7981898000068322,True,True,True,True,True,False,False,False
C075,ta,GEOGRAPHY,refute,refute,True,0.99,2,neutral,0.844064631343722,refute,0.99,True,True,True,False,True,True,False,True
C142,ml,GENERAL_FACTUAL,neutral,neutral,True,0.8375970121637627,3,neutral,0.8375970121637627,neutral,0.8375970121637627,True,True,True,True,True,False,False,False
C028,hi,POLITICS_GOVERNMENT,support,support,True,0.6566528723971421,5,neutral,0.5192337069314154,support,0.6566528723971421,True,True,True,False,True,True,False,True
C063,ta,HISTORY,refute,refute,True,0.97,4,neutral,0.9889645174672628,refute,0.97,True,True,True,False,True,True,False,True
C081,te,SPACE_ASTRONOMY,refute,refute,True,0.99,12,neutral,0.65,refute,0.99,True,True,True,False,True,True,False,True
C097,te,ENVIRONMENT_CLIMATE,refute,refute,True,0.99,5,neutral,0.8441312582313142,refute,0.99,True,True,True,False,True,True,False,True
C083,te,SPACE_ASTRONOMY,refute,refute,True,0.99,7,neutral,0.7284873793993986,refute,0.99,True,True,True,False,True,True,False,True
C046,hi,SCIENCE,support,support,True,0.8615990744010079,6,support,0.8615990744010079,support,0.8615990744010079,True,False,False,True,True,False,False,False
C069,ta,GEOGRAPHY,refute,refute,True,0.906555905182052,5,neutral,0.841994897367011,refute,0.906555905182052,True,True,True,False,True,True,False,True
C067,ta,GEOGRAPHY,refute,refute,True,0.9802104428427204,5,neutral,0.8362328755770108,refute,0.9802104428427204,True,True,True,False,True,True,False,True
C076,te,GEOGRAPHY,refute,refute,True,0.99,4,refute,0.99,refute,0.99,True,False,False,True,True,False,False,False
